iter	Passed	Remaining
552	95521	77211
553	95668	77018
554	95866	76865
555	96016	76674
556	96168	76485
557	96337	76310
558	96507	76135
559	96662	75948
560	96824	75768
561	96982	75584
562	97137	75398
563	97314	75229
564	97559	75112
565	97714	74925
566	97869	74739
567	98059	74580
568	98232	74407
569	98480	74292
570	98703	74157
571	98895	73998
572	99065	73823
573	99214	73633
574	99374	73450
575	99653	73355
576	99845	73196
577	99988	73002
578	100129	72805
579	100332	72654
580	100505	72481
581	100676	72307
582	100850	72134
583	101014	71955
584	101210	71799
585	101408	71643
586	101593	71479
587	101858	71370
588	102099	71244
589	102287	71080
590	102514	70944
591	102737	70805
592	102913	70633
593	103120	70482
594	103283	70302
595	103404	70092
596	103592	69929
597	103761	69752
598	103917	69567
599	104074	69383
600	104251	69212
601	104401	69022
602	104523	68815
603	104691	68639
604	104891	68483
605	105027	68285
606	105182	68100
607	105361	67930
608	105524	67750
609	105676	67563
610	105826	67375
611	105966	67181
612	106105	66986
613	106246	66793
614	106389	66601
615	106541	66415
616	106666	66212
617	106806	66019
618	106944	65825
619	107101	65643
620	107247	65453
621	107372	65251
622	107505	65055
623	107660	64872
624	107814	64688
625	107951	64494
626	108134	64328
627	108291	64147
628	108441	63961
629	108604	63783
630	108770	63607
631	108922	63423
632	109067	63235
633	109224	63053
634	109385	62875
635	109546	62696
636	109706	62517
637	109888	62350
638	110124	62214
639	110306	62047
640	110503	61888
641	110720	61741
642	110967	61610
643	111173	61456
644	111339	61280
645	111573	61140
646	111732	60960
647	111882	60775
648	112091	60622
649	112231	60432
650	112421	60268
651	112631	60116
652	112785	59933
653	112949	59756
654	113121	59583
655	113281	59403
656	113433	59220
657	113606	59047
658	113784	58877
659	113963	58708
660	114157	58546
661	114352	58385
662	114533	58216
663	114746	58064
664	114954	57909
665	115214	57780
666	115438	57632
667	115673	57490
668	115977	57382
669	116175	57220
670	116332	57039
671	116530	56877
672	116704	56704
673	116887	56536
674	117122	56392
675	117257	56200
676	117403	56013
677	117582	55843
678	117726	55655
679	117883	55474
680	118021	55284
681	118198	55112
682	118357	54932
683	118506	54748
684	118658	54565
685	118839	54396
686	118976	54206
687	119123	54021
688	119276	53839
689	119428	53656
690	119557	53463
691	119708	53280
692	119870	53102
693	120007	52914
694	120160	52732
695	120348	52566
696	120502	52384
697	120642	52197
698	120798	52017
699	120972	51845
700	121123	51663
701	121278	51483
702	121420	51297
703	121584	51120
704	121728	50936
705	121891	50759
706	122042	50577
707	122186	50393
708	122332	50209
709	122494	50033
710	122678	49864
711	122883	49705
712	123089	49546
713	123303	49390
714	123515	49233
715	123822	49113
716	124017	48949
717	124236	48795
718	124400	48618
719	124570	48444
720	124764	48279
721	124929	48102
722	125072	47918
723	125241	47743
724	125383	47559
725	125515	47371
726	125663	47188
727	125818	47009
728	125965	46826
729	126127	46649
730	126319	46484
731	126492	46311
732	126645	46131
733	126811	45956
734	126986	45784
735	127123	45598
736	127294	45425
737	127457	45249
738	127608	45068
739	127764	44890
740	127934	44716
741	128118	44548
742	128266	44366
743	128401	44181
744	128570	44007
745	128712	43824
746	128882	43650
747	129043	43474
748	129199	43296
749	129331	43110
750	129510	42940
751	129654	42758
752	129785	42572
753	129940	42394
754	130075	42210
755	130227	42031
756	130393	41856
757	130548	41678
758	130708	41502
759	130859	41324
760	131020	41148
761	131163	40967
762	131339	40795
763	131507	40622
764	131656	40443
765	131816	40267
766	131972	40090
767	132160	39923
768	132363	39760
769	132569	39598
770	132750	39429
771	132936	39261
772	133122	39092
773	133274	38914
774	133430	38738
775	133603	38566
776	133762	38390
777	133928	38215
778	134094	38042
779	134284	37875
780	134433	37696
781	134595	37521
782	134769	37349
783	134927	37174
784	135130	37010
785	135315	36841
786	135520	36678
787	135688	36505
788	135818	36321
789	135957	36140
790	136114	35964
791	136264	35786
792	136433	35613
793	136611	35443
794	136760	35265
795	136913	35088
796	137068	34912
797	137243	34740
798	137400	34565
799	137565	34391
800	137690	34207
801	137853	34033
802	138018	33860
803	138175	33684
804	138334	33509
805	138509	33338
806	138682	33166
807	138850	32994
808	139057	32830
809	139205	32653
810	139361	32477
811	139553	32310
812	139687	32129
813	139847	31955
814	139996	31778
815	140162	31605
816	140358	31438
817	140499	31260
818	140682	31090
819	140900	30929
820	141025	30747
821	141197	30575
822	141356	30401
823	141524	30228
824	141701	30057
825	141852	29881
826	142002	29705
827	142173	29533
828	142331	29358
829	142471	29180
830	142637	29008
831	142785	28831
832	142935	28655
833	143072	28477
834	143248	28306
835	143398	28130
836	143550	27955
837	143722	27784
838	143876	27609
839	144026	27433
840	144190	27260
841	144358	27088
842	144479	26907
843	144661	26738
844	144829	26566
845	144981	26391
846	145183	26225
847	145370	26056
848	145522	25882
849	145660	25704
850	145848	25536
851	146002	25361
852	146146	25185
853	146322	25015
854	146477	24841
855	146625	24666
856	146789	24493
857	146978	24325
858	147134	24151
859	147338	23985
860	147519	23815
861	147705	23646
862	147900	23478
863	148111	23313
864	148287	23143
865	148497	22977
866	148670	22806
867	148834	22633
868	149032	22466
869	149210	22295
870	149360	22121
871	149548	21952
872	149714	21779
873	149856	21604
874	150053	21436
875	150218	21263
876	150375	21090
877	150561	20920
878	150752	20752
879	150916	20579
880	151077	20406
881	151270	20237
882	151421	20063
883	151577	19890
884	151819	19727
885	152001	19557
886	152201	19389
887	152384	19219
888	152535	19045
889	152733	18877
890	152927	18708
891	153085	18534
892	153250	18362
893	153450	18194
894	153604	18020
895	153768	17848
896	153969	17679
897	154136	17507
898	154297	17334
899	154489	17165
900	154627	16990
901	154791	16817
902	155009	16651
903	155185	16479
904	155334	16305
905	155533	16137
906	155722	15967
907	155883	15794
908	156093	15626
909	156303	15458
910	156474	15286
911	156704	15120
912	156887	14949
913	157057	14777
914	157247	14607
915	157446	14438
916	157649	14269
917	157856	14100
918	158009	13926
919	158207	13757
920	158393	13586
921	158555	13413
922	158754	13243
923	158937	13072
924	159095	12899
925	159325	12732
926	159538	12563
927	159773	12396
928	160029	12230
929	160195	12057
930	160434	11890
931	160617	11718
932	160829	11549
933	161015	11377
934	161171	11204
935	161374	11034
936	161556	10862
937	161726	10689
938	161963	10521
939	162111	10347
940	162268	10174
941	162466	10003
942	162637	9830
943	162820	9658
944	162988	9486
945	163156	9313
946	163335	9141
947	163518	8969
948	163725	8798
949	163919	8627
950	164095	8454
951	164281	8283
952	164477	8111
953	164675	7940
954	164844	7767
955	165013	7594
956	165198	7422
957	165366	7249
958	165539	7077
959	165729	6905
960	165892	6732
961	166065	6559
962	166260	6387
963	166438	6215
964	166612	6042
965	166821	5871
966	166995	5698
967	167210	5527
968	167383	5354
969	167524	5181
970	167685	5008
971	167877	4835
972	168015	4662
973	168149	4488
974	168320	4315
975	168474	4142
976	168624	3969
977	168777	3796
978	168950	3624
979	169112	3451
980	169262	3278
981	169432	3105
982	169591	2932
983	169739	2759
984	169912	2587
985	170094	2415
986	170247	2242
987	170405	2069
988	170600	1897
989	170748	1724
990	170897	1552
991	171054	1379
992	171246	1207
993	171379	1034
994	171560	862
995	171744	689
996	171925	517
997	172086	344
998	172274	172
999	172453	0
