iter	Logloss
0	0.6839718078
1	0.6757097615
2	0.6687824108
3	0.6621808216
4	0.6570477259
5	0.6519797769
6	0.6477712967
7	0.6437947053
8	0.6405842712
9	0.6368088388
10	0.6340545442
11	0.6309765227
12	0.6285074119
13	0.62597859
14	0.6240206715
15	0.6211423801
16	0.6186219391
17	0.6171571334
18	0.6157452756
19	0.6143982931
20	0.6132827594
21	0.6108394616
22	0.6092666325
23	0.607356535
24	0.6057802852
25	0.6048804506
26	0.6039959659
27	0.6032723652
28	0.602170919
29	0.601213215
30	0.600784023
31	0.6004334268
32	0.5991470353
33	0.5982635318
34	0.5973447354
35	0.5965193406
36	0.5957826512
37	0.595274958
38	0.5946042773
39	0.5942789942
40	0.5934108242
41	0.5929382321
42	0.5926699236
43	0.5925502047
44	0.5920755376
45	0.5918505239
46	0.5913711527
47	0.591143609
48	0.5906217744
49	0.5901952692
50	0.589561245
51	0.5893117329
52	0.5891356409
53	0.5889837072
54	0.5885669255
55	0.5880988273
56	0.5878639854
57	0.5875344988
58	0.5871190054
59	0.5868457054
60	0.5866725949
61	0.5864254282
62	0.586085335
63	0.5860676782
64	0.5858574911
65	0.5856611875
66	0.5855651182
67	0.5853725125
68	0.5851183182
69	0.5849333489
70	0.5848351678
71	0.5845984248
72	0.5845342035
73	0.584462042
74	0.5841609253
75	0.5840404841
76	0.583876376
77	0.583720523
78	0.5834393286
79	0.5832162345
80	0.5830939934
81	0.5829797854
82	0.5828045561
83	0.5825700559
84	0.5824629948
85	0.5824087569
86	0.5822596927
87	0.5821137346
88	0.5820007192
89	0.5817475692
90	0.5816982047
91	0.5816183743
92	0.5813705491
93	0.5813325918
94	0.5812443816
95	0.5811384214
96	0.5809965698
97	0.5809395477
98	0.5807431676
99	0.5805951697
100	0.5804939587
101	0.5804098417
102	0.5802853874
103	0.5802747941
104	0.5802491599
105	0.5801073626
106	0.5799465439
107	0.5798512446
108	0.5797014528
109	0.5796180338
110	0.5795480205
111	0.5795035105
112	0.5793986671
113	0.5792586158
114	0.5791213304
115	0.579066375
116	0.5789725294
117	0.578937485
118	0.5788589645
119	0.5787779382
120	0.5787324568
121	0.5786886847
122	0.5785795135
123	0.578532357
124	0.5784700698
125	0.5783583514
126	0.5783100635
127	0.578152861
128	0.5781340052
129	0.5780693272
130	0.577955909
131	0.5778462449
132	0.5778063206
133	0.577765195
134	0.5777047061
135	0.5776647174
136	0.5775357078
137	0.5774769092
138	0.5773821099
139	0.5772690039
140	0.5771771049
141	0.57712259
142	0.577060087
143	0.576904617
144	0.5767743855
145	0.5766956705
146	0.5766548062
147	0.5765622638
148	0.5764908251
149	0.5764686247
150	0.5764090912
151	0.5763196555
152	0.5761920757
153	0.5761535697
154	0.5761028767
155	0.576033796
156	0.5759812589
157	0.5759461185
158	0.5758700017
159	0.5757993807
160	0.5756999183
161	0.5755926088
162	0.5755253267
163	0.5754840922
164	0.575375364
165	0.575286495
166	0.5752310346
167	0.5752009065
168	0.5751535443
169	0.5749876024
170	0.5748589588
171	0.5748042096
172	0.5747328913
173	0.5746276311
174	0.5745768169
175	0.5744710078
176	0.5743928251
177	0.5743242506
178	0.5742065353
179	0.574162097
180	0.5740160459
181	0.5739736326
182	0.573920343
183	0.5738669836
184	0.5738094813
185	0.5737635536
186	0.5737055719
187	0.5736560935
188	0.5735753056
189	0.5735348251
190	0.5734534708
191	0.573396698
192	0.5733530695
193	0.5732799279
194	0.5732222925
195	0.5731903949
196	0.5731372929
197	0.573116677
198	0.5730314842
199	0.5729604049
200	0.5728669853
201	0.5728224051
202	0.5727610933
203	0.5727091836
204	0.5726332775
205	0.5725744884
206	0.5724941116
207	0.5724491434
208	0.5724223854
209	0.5723805222
210	0.5723416455
211	0.5722722076
212	0.5722201351
213	0.5721222556
214	0.5720543601
215	0.5719939273
216	0.571961791
217	0.5719121297
218	0.5718519285
219	0.5718296607
220	0.5717940092
221	0.5717550602
222	0.5717137794
223	0.5716746667
224	0.5716338577
225	0.5715821199
226	0.5715422238
227	0.5714996716
228	0.5714540387
229	0.5713829486
230	0.5713246863
231	0.5712555653
232	0.5711777664
233	0.5711264158
234	0.5710947113
235	0.5710220963
236	0.5709588001
237	0.5709378835
238	0.5709119863
239	0.5708549063
240	0.5707794334
241	0.5706719475
242	0.5706334577
243	0.5705778884
244	0.5705429682
245	0.5705089635
246	0.5704839405
247	0.5704473151
248	0.5704176961
249	0.5703821137
250	0.5703292553
251	0.5702705824
252	0.5702350365
253	0.5701806875
254	0.57016357
255	0.5700979221
256	0.5700343735
257	0.5700202408
258	0.5699710184
259	0.5698536822
260	0.5698224434
261	0.5698106714
262	0.5698007868
263	0.5697351983
264	0.5696751769
265	0.5696013494
266	0.5695662939
267	0.5695203627
268	0.5695009951
269	0.5694705143
270	0.5693956669
271	0.5693666323
272	0.5693061772
273	0.5692869331
274	0.569241386
275	0.5691969452
276	0.5691734714
277	0.5691034246
278	0.5690455013
279	0.5689975346
280	0.5689435223
281	0.5689103426
282	0.5688773247
283	0.5688622003
284	0.5688106981
285	0.5687881567
286	0.5687294763
287	0.5686995233
288	0.5686649823
289	0.5686197725
290	0.5685812952
291	0.5685614296
292	0.5685148792
293	0.5684910588
294	0.568452866
295	0.5684106345
296	0.568336847
297	0.5682734153
298	0.5682220571
299	0.5681916118
300	0.5681522843
301	0.5680937495
302	0.5680574699
303	0.5680087349
304	0.567997495
305	0.5679736689
306	0.5679284848
307	0.5678792339
308	0.5678031728
309	0.5677703627
310	0.5677662533
311	0.5677349686
312	0.5677048725
313	0.5676877126
314	0.5676612261
315	0.5676529393
316	0.5676276623
317	0.5675600488
318	0.5675184378
319	0.5674898353
320	0.5674683171
321	0.5674154497
322	0.5673945475
323	0.5673916043
324	0.5673802861
325	0.5673303099
326	0.5672784692
327	0.5672405544
328	0.5672197533
329	0.5671885592
330	0.5671836573
331	0.5671394239
332	0.5670928832
333	0.5670498073
334	0.5670211284
335	0.5669943429
336	0.5669797683
337	0.566916797
338	0.5668851928
339	0.5668573885
340	0.5668325403
341	0.5667468105
342	0.5666491174
343	0.5666335326
344	0.5666124466
345	0.566557086
346	0.5665291884
347	0.5665146105
348	0.5664829155
349	0.5664619356
350	0.5663983502
351	0.566390937
352	0.5663741364
353	0.5663498408
354	0.5663253205
355	0.566307155
356	0.5662703367
357	0.5662663418
358	0.5662407036
359	0.5662329615
360	0.5662053614
361	0.5661701583
362	0.566150371
363	0.566124276
364	0.5661065017
365	0.5660704326
366	0.5660541522
367	0.565991691
368	0.5659377404
369	0.5658987411
370	0.5658691299
371	0.5658635901
372	0.5658429845
373	0.5658108584
374	0.5657881659
375	0.5657640464
376	0.5657340907
377	0.5657053489
378	0.5656683231
379	0.5656339695
380	0.5655933328
381	0.5655714371
382	0.565530325
383	0.5654909576
384	0.5654535776
385	0.5654303055
386	0.5654166819
387	0.5654071793
388	0.5653802861
389	0.5653629744
390	0.5653510252
391	0.5653172105
392	0.5652671186
393	0.5652386115
394	0.5651996955
395	0.5651750885
396	0.5651481196
397	0.5651307539
398	0.5651195144
399	0.5650941832
400	0.5650588483
401	0.5650183726
402	0.5650046174
403	0.5649816116
404	0.5649520698
405	0.5649194656
406	0.5649042616
407	0.5648609267
408	0.5648337185
409	0.5648077519
410	0.5647707746
411	0.5647238573
412	0.5647009224
413	0.5646853278
414	0.5645890759
415	0.5645605951
416	0.5644950141
417	0.5644698905
418	0.5644543959
419	0.5644353425
420	0.5643348823
421	0.5643171934
422	0.5642994124
423	0.5642753621
424	0.5642648489
425	0.5642324947
426	0.5641933984
427	0.5641473212
428	0.5641237825
429	0.564092484
430	0.5640626946
431	0.5640390231
432	0.5639947243
433	0.5639820911
434	0.5639720207
435	0.5639438334
436	0.5639220917
437	0.5638838028
438	0.5638643125
439	0.5638098644
440	0.563795995
441	0.5637583853
442	0.5637336627
443	0.5636981269
444	0.5636806757
445	0.56363374
446	0.5635966021
447	0.5635606508
448	0.5635528845
449	0.5635211652
450	0.5635106614
451	0.563495518
452	0.5634701012
453	0.5634343931
454	0.5634048533
455	0.5633598314
456	0.5633495285
457	0.5633273997
458	0.5633171212
459	0.5632977562
460	0.5632560607
461	0.5632422075
462	0.5632353269
463	0.5631992791
464	0.5631595133
465	0.5631506312
466	0.5631457707
467	0.5631227799
468	0.5631131359
469	0.5630948269
470	0.5630551496
471	0.5629978557
472	0.5629459417
473	0.5629182061
474	0.5628949818
475	0.5628820135
476	0.5628617966
477	0.5628560355
478	0.5628238759
479	0.5628087713
480	0.5627619029
481	0.5627473671
482	0.562732166
483	0.5626791252
484	0.5626783541
485	0.5626633651
486	0.5626484929
487	0.5626376565
488	0.5626197425
489	0.5626005888
490	0.5625905123
491	0.5625812314
492	0.562544094
493	0.5625165012
494	0.5625085616
495	0.562460119
496	0.562454773
497	0.5624443575
498	0.5623747755
499	0.5623529591
500	0.5623294302
501	0.5623044934
502	0.5622678294
503	0.562259151
504	0.56222896
505	0.5622083106
506	0.5621862088
507	0.5621778701
508	0.562158776
509	0.5621168479
510	0.5620693958
